name,province,city,type,mood_slug,keywords,one_line,logo_url,external_id,tags
北京交通大学,北京,北京,理工,rational_creator,交通|工程|信息,知行合一，交通强校,,211_001,211|工程导向|交通特色|务实进取
北京科技大学,北京,北京,理工,rational_creator,材料|冶金|工程,求实鼎新，兴国强邦,,211_002,211|材料冶金|工程强|严谨务实
北京化工大学,北京,北京,理工,rational_creator,化工|材料|环境,明德任责，求是创新,,211_003,211|化工特色|工程|实践导向
北京邮电大学,北京,北京,理工,innovative_pioneer,通信|电子|信息,厚德积学，求是创新,,211_004,211|通信电子|信息强|创新驱动
北京林业大学,北京,北京,农业,practical_leader,生态|林学|环境,知山知水，树人树木,,211_005,211|生态环境|林学|实践型
中国政法大学,北京,北京,政法,scholarly_thinker,法学|政务|人文,厚德博学，明法尚公,,211_006,211|法学特色|人文社科|思辨型
中央财经大学,北京,北京,财经,practical_leader,金融|经济|财税,求真务实，知行合一,,211_007,211|财经|经管|务实
对外经济贸易大学,北京,北京,财经,global_explorer,国际贸易|经管|外语,博学诚信，求索笃行,,211_008,211|国际化|经贸|开放包容
北京外国语大学,北京,北京,外语,global_explorer,语言|国际|人文,兼容并蓄，通达天下,,211_009,211|外语|国际视野|交流合作
北京中医药大学,北京,北京,医药,practical_leader,中医|药学|医学,厚德精业，传承创新,,211_010,211|医学医药|传承创新|实践型
华北电力大学(北京),北京,北京,理工,rational_creator,电力|能源|信息,自强不息，求实创新,,211_011,211|能源电力|工程|务实
中国地质大学(北京),北京,北京,理工,rational_creator,地质|资源|环境,艰苦朴素，求真务实,,211_012,211|地质资源|工程|野外实践
中国石油大学(北京),北京,北京,理工,rational_creator,石油|化工|工程,惟真惟实，勤思勤学,,211_013,211|石油化工|工程|实干
华东理工大学,上海,上海,理工,rational_creator,化工|材料|制药,勤奋求实，开拓创新,,211_014,211|化工材料|工程|创新
东华大学,上海,上海,理工,rational_creator,纺织|材料|设计,崇德尚学，励志图强,,211_015,211|纺织材料|工程|设计融合
上海外国语大学,上海,上海,外语,global_explorer,语言|国际|区域,兼容并蓄，融通世界,,211_016,211|外语|国际化|交流
上海财经大学,上海,上海,财经,practical_leader,金融|会计|经济,厚德博学，经济济世,,211_017,211|财经|经管|务实
上海大学,上海,上海,综合,scholarly_thinker,理工|人文|艺术,自强不息，兼容并包,,211_018,211|综合|城市型|多学科
西南大学,重庆,重庆,综合,scholarly_thinker,教育|农学|心理,含弘自强，求是创新,,211_019,211|教育与农学|人文|西部
河北工业大学,河北,天津,理工,rational_creator,工程|机械|材料,严谨求实，开拓进取,,211_020,211|工程|制造|务实
太原理工大学,山西,太原,理工,rational_creator,工程|材料|信息,求真务实，开拓创新,,211_021,211|工程|山西|实践
内蒙古大学,内蒙古,呼和浩特,综合,scholarly_thinker,民族|生态|人文,自强不息，厚德载物,,211_022,211|民族特色|人文社科|生态
大连海事大学,辽宁,大连,理工,rational_creator,航运|海事|法律,扬帆致远，求是笃行,,211_023,211|海事航运|工程|沿海
辽宁大学,辽宁,沈阳,综合,scholarly_thinker,人文|经济|法学,自强不息，博学笃行,,211_024,211|人文社科|东三省|综合
延边大学,吉林,延吉,综合,scholarly_thinker,民族|医学|外语,自强不息，敦品励学,,211_025,211|民族特色|边疆|人文
东北师范大学,吉林,长春,师范,scholarly_thinker,教育|中文|心理,学为人师，行为世范,,211_026,211|师范教育|人文|思辨
哈尔滨工程大学,黑龙江,哈尔滨,理工,rational_creator,船舶|航天|信息,严谨求实，勇于创新,,211_027,211|工程|航海|实践
东北林业大学,黑龙江,哈尔滨,农业,practical_leader,林学|生态|环境,知山知水，树木树人,,211_028,211|生态林学|实践|北方
