name,province,city,type,mood_slug,keywords,one_line,logo_url,external_id,tags
清华大学,北京,北京,综合,rational_creator,工程|科技|创新,自强不息，厚德载物,,985_001,985|理工强|创新驱动|严谨务实
北京大学,北京,北京,综合,scholarly_thinker,人文|社科|学术,思想自由，兼容并包,,985_002,985|人文厚重|学术氛围浓|开放包容
中国人民大学,北京,北京,综合,scholarly_thinker,人文|社科|法学,国民表率，社会栋梁,,985_003,985|人文社科|思辨型|政策研究
北京航空航天大学,北京,北京,理工,rational_creator,航空航天|工程|信息,海纳百川，有容乃大,,985_004,985|工程导向|航天|国防科工
北京理工大学,北京,北京,理工,rational_creator,工程|兵器|材料,厚德笃学，知行合一,,985_005,985|军工背景|工程强|实践导向
北京师范大学,北京,北京,师范,scholarly_thinker,教育|心理|文史,学为人师，行为世范,,985_006,985|教育学|师范|人文关怀
中国农业大学,北京,北京,农业,practical_leader,农业|生命|食品,解民生之多艰，育天下之英才,,985_007,985|农业特色|实干型|生命科学
中央民族大学,北京,北京,综合,scholarly_thinker,民族|社会|文化,团结奋进，文化多元,,985_008,985|人文社科|文化多样性|社会关怀
复旦大学,上海,上海,综合,practical_leader,管理|医学|人文,博学而笃行，切问而近思,,985_009,985|海派文化|综合强校|领导力
上海交通大学,上海,上海,综合,rational_creator,工程|船舶|信息,饮水思源，爱国荣校,,985_010,985|工程强|信息|创新驱动
同济大学,上海,上海,综合,practical_leader,建筑|土木|设计,同心同德，济世长行,,985_011,985|建筑土木|工程|设计审美
华东师范大学,上海,上海,师范,scholarly_thinker,教育|中文|心理,求是创新，为人师表,,985_012,985|教育学|人文|师范
南开大学,天津,天津,综合,scholarly_thinker,人文|经管|化学,允公允能，日新月异,,985_013,985|人文兼优|经管|学术传统
天津大学,天津,天津,理工,rational_creator,工程|化工|建筑,实事求是，严谨治学,,985_014,985|工程强|化工|实践导向
南京大学,江苏,南京,综合,scholarly_thinker,理学|人文|天文,诚朴雄伟，励学敦行,,985_015,985|学术氛围浓|基础学科|理科强
东南大学,江苏,南京,理工,rational_creator,工程|建筑|信息,止于至善，开物成务,,985_016,985|建筑工程|信息|务实进取
浙江大学,浙江,杭州,综合,rational_creator,信息|工程|多科融合,求是创新，面向未来,,985_017,985|综合强校|工程|创新
西安交通大学,陕西,西安,理工,rational_creator,工程|能源|电气,精勤求学，敦笃励志,,985_018,985|西部|工程强|交通传统
西北工业大学,陕西,西安,理工,rational_creator,航空航天|材料|机电,兼容并包，自强不息,,985_019,985|航天|军工|工程
哈尔滨工业大学,黑龙江,哈尔滨,理工,rational_creator,工程|航天|电子,规格严格，功夫到家,,985_020,985|工程强|北方|实践型
大连理工大学,辽宁,大连,理工,rational_creator,工程|化工|机械,海纳百川，止于至善,,985_021,985|工程强|海洋|东北
东北大学,辽宁,沈阳,理工,rational_creator,工程|冶金|信息,自强不息，知行合一,,985_022,985|工程冶金|东北|务实进取
中国科学技术大学,安徽,合肥,理工,innovative_pioneer,物理|信息|前沿,红专并进，理实交融,,985_023,985|科技前沿|科研导向|创新
华中科技大学,湖北,武汉,理工,rational_creator,工程|信息|医学,明德厚学，求是创新,,985_024,985|工程|信息|医学交叉
武汉大学,湖北,武汉,综合,scholarly_thinker,人文|法学|计算机,自强弘毅，求是拓新,,985_025,985|人文理工兼优|学术传统|湖景校园
中山大学,广东,广州,综合,scholarly_thinker,人文|医学|海洋,博学审问，慎思明辨,,985_026,985|南方|医学|综合强校
华南理工大学,广东,广州,理工,rational_creator,工程|材料|制造,博学慎思，明辨笃行,,985_027,985|工程制造|南方|实践导向
四川大学,四川,成都,综合,scholarly_thinker,医学|人文|基础,海纳百川，兼容并包,,985_028,985|西部|医学|综合强校
电子科技大学,四川,成都,理工,innovative_pioneer,电子|通信|信息,求实求真，大气大为,,985_029,985|电子通信|创新驱动|工程
厦门大学,福建,厦门,综合,scholarly_thinker,人文|经管|海洋,自强不息，止于至善,,985_030,985|海边城市|人文|综合
山东大学,山东,济南,综合,practical_leader,综合|医学|工程,学无止境，气有浩然,,985_031,985|综合强校|山东|务实
中国海洋大学,山东,青岛,综合,rational_creator,海洋|水产|理工,海纳百川，取则行远,,985_032,985|海洋特色|沿海|理工
兰州大学,甘肃,兰州,综合,scholarly_thinker,基础|西部|生态,自强不息，独树一帜,,985_033,985|西部|基础学科|理性思辨
吉林大学,吉林,长春,综合,scholarly_thinker,综合|汽车|医学,求实创新，励志图强,,985_034,985|东北|综合|务实
重庆大学,重庆,重庆,理工,rational_creator,工程|建筑|机电,耐劳苦，尚俭朴，勤学业,,985_035,985|西部|工程|建筑
中南大学,湖南,长沙,综合,practical_leader,冶金|医学|交通,知行合一，经世致用,,985_036,985|中南地区|实干型|综合
湖南大学,湖南,长沙,综合,scholarly_thinker,工科|历史|设计,实事求是，止于至善,,985_037,985|工科与人文融合|湖湘文化|务实
国防科技大学,湖南,长沙,理工,innovative_pioneer,国防|信息|控制,严谨求实，团结协作,,985_038,985|国防军工|信息|创新
西北农林科技大学,陕西,咸阳,农业,practical_leader,农业|生态|生科,勤学奋进，强农兴邦,,985_039,985|农业特色|生态|西部
